"calendarDate","startGMT","endGMT","activityLevel","key","startTimeGMT","endTimeGMT","startTimeLocal","endTimeLocal"
2025-08-21,"2025-08-21T10:41:17.0","2025-08-21T10:49:17.0",2,14,2025-08-21 10:41:17,2025-08-21 10:49:17,2025-08-21 06:41:17,2025-08-21 06:49:17
2025-08-21,"2025-08-21T10:49:17.0","2025-08-21T11:07:17.0",1,15,2025-08-21 10:49:17,2025-08-21 11:07:17,2025-08-21 06:49:17,2025-08-21 07:07:17
2025-08-21,"2025-08-21T11:07:17.0","2025-08-21T11:11:17.0",3,16,2025-08-21 11:07:17,2025-08-21 11:11:17,2025-08-21 07:07:17,2025-08-21 07:11:17
2025-08-21,"2025-08-21T11:11:17.0","2025-08-21T11:40:17.0",1,17,2025-08-21 11:11:17,2025-08-21 11:40:17,2025-08-21 07:11:17,2025-08-21 07:40:17
2025-08-22,"2025-08-22T04:54:54.0","2025-08-22T07:45:54.0",1,1,2025-08-22 04:54:54,2025-08-22 07:45:54,2025-08-22 00:54:54,2025-08-22 03:45:54
2025-08-22,"2025-08-22T07:45:54.0","2025-08-22T08:12:54.0",0,2,2025-08-22 07:45:54,2025-08-22 08:12:54,2025-08-22 03:45:54,2025-08-22 04:12:54
2025-08-22,"2025-08-22T08:12:54.0","2025-08-22T09:41:54.0",1,3,2025-08-22 08:12:54,2025-08-22 09:41:54,2025-08-22 04:12:54,2025-08-22 05:41:54
2025-08-22,"2025-08-22T09:41:54.0","2025-08-22T10:10:54.0",2,4,2025-08-22 09:41:54,2025-08-22 10:10:54,2025-08-22 05:41:54,2025-08-22 06:10:54
2025-08-22,"2025-08-22T10:10:54.0","2025-08-22T10:51:54.0",1,5,2025-08-22 10:10:54,2025-08-22 10:51:54,2025-08-22 06:10:54,2025-08-22 06:51:54
2025-08-22,"2025-08-22T10:51:54.0","2025-08-22T11:36:16.0",2,6,2025-08-22 10:51:54,2025-08-22 11:36:16,2025-08-22 06:51:54,2025-08-22 07:36:16
2025-08-23,"2025-08-23T04:38:11.0","2025-08-23T04:53:11.0",1,1,2025-08-23 04:38:11,2025-08-23 04:53:11,2025-08-23 00:38:11,2025-08-23 00:53:11
